Name,Designator,Footprint,LCSC
,,,
2x3p,J4,2x3p_conn,C124390
1x6p,J5,1X6P_CONN,C7501293
STM32F042K6T6,U1,LQFP32-ST,C69216
oled,U2,OLED_096_SSD1306,C2890596
SHT30,U3,SHT30-DIS-B2.5KS,C77361
OPA2330AIDR,U4,SOIC8,C128746
